"fact","region","phi","crop","median","mean","min","max"
"MET","Central America",4,"R",0.18130706,0.180225574285714,0.14517917,0.21901801
"MET","Central America",4,"W",0.19031277,0.186416757582418,0.14039615,0.21507748
"MET","Central Asia",2,"M",0.50557163,0.513338056202532,0.46588109,0.63166966
"MET","Central Asia",2,"R",0.58778754,0.587803101730769,0.48955606,0.70542723
"MET","Central Asia",2,"W",0.48493702,0.495828267863248,0.45615671,0.65920369
"MET","Central Asia",3,"M",0.22606311,0.223821503670886,0.19172861,0.31007494
"MET","Central Asia",3,"R",0.25873093,0.261449611153846,0.23039804,0.34052765
"MET","Central Asia",3,"W",0.23612151,0.232942731452991,0.20620108,0.26943768
"MET","Central Asia",4,"M",0.22606311,0.223821503670886,0.19172861,0.31007494
"MET","Central Asia",4,"R",0.25873093,0.261449611153846,0.23039804,0.34052765
"MET","Central Asia",4,"W",0.23612151,0.232942731452991,0.20620108,0.26943768
"MET","Eastern Africa",2,"M",0.38982232,0.382971002311111,0.28987626,0.48476829
"MET","Eastern Africa",2,"R",0.41268884,0.407927397,0.31069064,0.5167117
"MET","Eastern Africa",2,"W",0.38928501,0.382321202863436,0.28708505,0.46558476
"MET","Eastern Africa",3,"M",0.18772693,0.183880154222222,0.13015925,0.23931028
"MET","Eastern Africa",3,"R",0.19416759,0.189960341809524,0.14363054,0.24645993
"MET","Eastern Africa",3,"W",0.18070686,0.177374619779736,0.13377717,0.21673605
"MET","Eastern Africa",4,"M",0.18772693,0.183880154222222,0.13015925,0.23931028
"MET","Eastern Africa",4,"R",0.19416759,0.189960341809524,0.14363054,0.24645993
"MET","Eastern Africa",4,"W",0.18070686,0.177374619779736,0.13377717,0.21673605
"MET","Eastern Asia",2,"M",0.42658597,0.432125677793594,0.28710722,0.64542412
"MET","Eastern Asia",2,"R",0.439099235,0.44963540149789,0.27360761,0.7369376
"MET","Eastern Asia",2,"W",0.426176835,0.438144500808824,0.3305697,0.62996395
"MET","Eastern Asia",3,"M",0.18082401,0.186783900338078,0.13961078,0.27579152
"MET","Eastern Asia",3,"R",0.196620065,0.199581191033755,0.14750724,0.31185091
"MET","Eastern Asia",3,"W",0.189195695,0.192550065029412,0.14809963,0.28405951
"MET","Eastern Asia",4,"M",0.18082401,0.186783900338078,0.13961078,0.27579152
"MET","Eastern Asia",4,"R",0.196620065,0.199581191033755,0.14750724,0.31185091
"MET","Eastern Asia",4,"W",0.189195695,0.192550065029412,0.14809963,0.28405951
