"","region","crop","phi","fact","value"
"231","Middle Africa","R",3,"POP",-0.0496241342092529
"232","Middle Africa","R",4,"IPM",0.0886834431552874
"233","Middle Africa","R",4,"MET",0.188111585804598
"234","Middle Africa","R",4,"POP",-0.082902862457069
"235","Middle Africa","W",2,"IPM",0.179414365403727
"236","Middle Africa","W",2,"MET",0.191077908074534
"237","Middle Africa","W",2,"POP",-0.00973125325919255
"238","Middle Africa","W",3,"IPM",0.173184386335404
"239","Middle Africa","W",3,"MET",0.191077908074534
"240","Middle Africa","W",3,"POP",-0.0149258199528634
"241","Middle Africa","W",4,"IPM",0.165675212428571
"242","Middle Africa","W",4,"MET",0.191077908074534
"243","Middle Africa","W",4,"POP",-0.0211861610314286
"244","Northern Africa","M",2,"IPM",0.209075166375
"245","Northern Africa","M",2,"MET",0.21512149625
"246","Northern Africa","M",2,"POP",-0.0044821157755
"247","Northern Africa","M",3,"IPM",0.20686001425
"248","Northern Africa","M",3,"MET",0.21512149625
"249","Northern Africa","M",3,"POP",-0.00593623996425
"250","Northern Africa","M",4,"IPM",0.2088396571375
"251","Northern Africa","M",4,"MET",0.21512149625
"252","Northern Africa","M",4,"POP",-0.003875454587875
"253","Northern Africa","R",2,"IPM",0.200337110246914
"254","Northern Africa","R",2,"MET",0.21820862962963
"255","Northern Africa","R",2,"POP",-0.0142356679366667
"256","Northern Africa","R",3,"IPM",0.185665324716049
"257","Northern Africa","R",3,"MET",0.21820862962963
"258","Northern Africa","R",3,"POP",-0.0259305004350617
"259","Northern Africa","R",4,"IPM",0.16392003617284
"260","Northern Africa","R",4,"MET",0.21820862962963
"261","Northern Africa","R",4,"POP",-0.0432710046753086
"262","Northern Africa","W",2,"IPM",0.2117942922
"263","Northern Africa","W",2,"MET",0.198535768
"264","Northern Africa","W",2,"POP",0.0108953829504
"265","Northern Africa","W",3,"IPM",0.223446605
"266","Northern Africa","W",3,"MET",0.198535768
"267","Northern Africa","W",3,"POP",0.0204649328068
"268","Northern Africa","W",4,"IPM",0.2447206586
"269","Northern Africa","W",4,"MET",0.198535768
"270","Northern Africa","W",4,"POP",0.0379094479606
"271","Northern America","M",2,"IPM",0.266402313109091
"272","Northern America","M",2,"MET",0.234179203254545
"273","Northern America","M",2,"POP",0.0260100112692084
"274","Northern America","M",3,"IPM",0.279043401054545
"275","Northern America","M",3,"MET",0.234179203254545
"276","Northern America","M",3,"POP",0.0363196917580182
"277","Northern America","M",4,"IPM",0.309024095272727
"278","Northern America","M",4,"MET",0.234179203254545
"279","Northern America","M",4,"POP",0.0606497759804909
"280","Northern America","R",2,"IPM",0.237289433157895
"281","Northern America","R",2,"MET",0.232563736842105
"282","Northern America","R",2,"POP",0.00502959168315789
"283","Northern America","R",3,"IPM",0.234086453157895
